Filename: ...

Position of PCB:
left under edge: X=0 / Y=0

name	X-axis	Y-axis	angle	value	package	side
C32	26.40	51.70	180	100n-0402-16v	0402	top
R21	24.50	51.70	0	10-0402	0402	top
R19	28.30	51.70	180	10-0402	0402	top
R29	11.00	49.70	90	390-0402	0402	top
DS15	13.60	49.70	0	green-0805	0805_led	top
D17	28.27	29.30	0	mmbz15val	SOT23	top
C44	20.00	27.00	180	22u-0805-10v	0805	top
D15	28.27	39.50	0	mmbz15val	SOT23	top
D14	28.27	44.60	0	mmbz15val	SOT23	top
D18	28.27	34.40	0	mmbz15val	SOT23	top
DS3	25.10	44.60	180	blue-0805	0805_led	top
DS2	25.10	47.10	180	blue-0805	0805_led	top
DS9	25.10	29.30	180	blue-0805	0805_led	top
DS8	25.10	31.90	180	blue-0805	0805_led	top
DS7	25.10	34.40	180	blue-0805	0805_led	top
DS6	25.10	37.00	180	blue-0805	0805_led	top
DS5	25.10	39.50	180	blue-0805	0805_led	top
DS4	25.10	42.00	180	blue-0805	0805_led	top
J7	19.50	38.19	0	header3x8-ra	header_254_3_24w	top
D16	21.10	49.98	90	pesd5z12	SOD523	top
C43	18.30	49.58	180	22u-0805-10v	0805	top
Q7	42.93	28.60	180	bc846b	SOT23	top
R32	44.90	29.30	90	10k-0402	0402	top
R31	44.90	27.40	90	10k-0402	0402	top
C3	46.35	26.30	0	100n-0402-16v	0402	top
C4	44.60	18.60	90	100n-0402-16v	0402	top
C5	51.30	17.20	180	100n-0402-16v	0402	top
R13	19.30	19.90	180	10k-0402	0402	top
DS1	35.00	20.70	180	green-0805	0805_led	top
R1	37.30	20.70	90	100-0402	0402	top
R7	48.90	26.30	0	10k-0402	0402	top
L2	58.00	25.40	0	200m-1k-0402	0402	top
U3	41.10	19.60	0	stf202	SOT26	top
Y1	57.50	20.50	0	abmm2-8.000mhz-e2-t	ABMM2	top
D4	57.80	30.27	90	bat54c	SOT23	top
C18	19.30	21.90	0	100n-0402-16v	0402	top
R14	19.30	20.90	180	10k-0402	0402	top
R12	19.30	22.90	0	10k-0402	0402	top
C17	14.50	17.20	270	470n-0603-25v	0603	top
Q1	12.33	17.20	180	bc846b	SOT23	top
C40	29.40	25.90	0	100n-0402-16v	0402	top
C39	21.90	24.40	270	100n-0402-16v	0402	top
R9	22.00	20.40	90	1k-0402	0402	top
R10	22.00	22.40	90	1k-0402	0402	top
R26	31.20	23.20	270	1k-0402	0402	top
U8	26.60	22.40	0	si8602ac	SOIC8	top
C19	19.30	23.90	180	100n-0402-16v	0402	top
RN2	54.50	25.60	0	4-100-0402	CAY10J4	top
RN3	43.70	24.90	270	4-100-0402	CAY10J4	top
U2	49.10	21.75	180	stm32f103c6u	QFN48_5_EP	top
RN1	54.50	28.10	0	4-100-0402	CAY10J4	top
R11	19.30	24.90	0	10k-0402	0402	top
C15	58.70	24.40	0	27p-0402-50v	0402	top
C16	57.50	16.60	180	27p-0402-50v	0402	top
R8	54.20	21.40	0	100-0402	0402	top
DS10	50.00	28.40	270	redblue-dual	0805_split_led	top
R4	47.00	28.90	180	100-0402	0402	top
R5	47.00	27.90	180	100-0402	0402	top
C1	36.30	11.70	270	1u-0402-10v	0402	top
C2	36.30	13.70	90	1u-0402-10v	0402	top
L1	12.60	13.60	90	300m-0603	0603	top
C11	44.80	16.40	90	10n-0402-25v	0402	top
L5	26.20	17.20	90	300m-0603	0603	top
C14	48.30	11.80	270	100n-0603-50v	0603	top
R6	48.30	14.30	90	1000k-0402	0402	top
C6	54.30	17.90	270	22u-0805-10v	0805	top
J2	42.10	13.01	270	usb-micro-b	FCI_10103592	top
D5	43.50	16.70	90	pesd5z12	SOD523	top
J3	53.60	13.34	90	header2x5-1.27mm	header_127_10w	top
U1	33.65	12.70	180	mcp1700t3302emb	SOT89	top
J1	22.10	14.00	90	minicamcon4w	camcon_38_4	top
C7	11.30	14.20	270	100n-0402-16v	0402	top
D1	28.37	17.20	0	bat54c	SOT23	top
D2	36.10	17.20	0	1sma5918bt3g	DO214AC	top
F1	31.80	17.70	270	r200-1206	1206	top
C12	24.40	18.20	90	100n-0402-16v	0402	top
R3	24.40	16.30	270	4k7-0402	0402	top
C13	23.40	18.20	90	1u-0402-10v	0402	top
R2	16.00	16.30	270	4k7-0402	0402	top
D3	20.20	16.77	90	mmbz15val	SOT23	top
L4	22.40	16.30	90	200m-1k-0402	0402	top
L3	18.00	16.30	90	200m-1k-0402	0402	top
C9	17.00	16.30	270	1n5-0402-50v	0402	top
C10	23.40	16.30	270	1n5-0402-50v	0402	top
C8	54.20	23.20	0	100n-0402-16v	0402	top
FID2	57.60	12.00	0	unknown	FIDUCIAL	top
FID1	18.30	51.40	0	unknown	FIDUCIAL	top
